Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG_prc,three_PM,Three_PA,Three_P_prc,FTM,FTA,FT_prc,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Jerami Grant,2015,77,52,26.8,9.73,3.26,7.78,0.419,0.45,1.9,0.24,2.75,4.18,0.658,1.29,3.4,4.69,1.75,0.7,1.65,1.43,2.79
Jerami Grant,2016,80,4,19.1,5.46,1.9,4.1,0.463,0.54,1.45,0.371,1.12,1.84,0.612,0.47,2.09,2.56,0.57,0.41,0.99,0.55,1.86
Jerami Grant,2017,81,1,20.3,8.42,3.01,5.63,0.535,0.4,1.36,0.291,2,2.96,0.675,1.06,2.88,3.94,0.7,0.38,0.95,0.67,1.91
Jerami Grant,2018,80,77,32.7,13.62,5.11,10.29,0.497,1.44,3.66,0.392,1.96,2.76,0.71,1.2,4.01,5.21,0.99,0.76,1.25,0.84,2.67
Jerami Grant,2019,71,24,26.6,11.99,4.27,8.93,0.478,1.38,3.55,0.389,2.07,2.76,0.75,0.82,2.68,3.49,1.24,0.7,0.8,0.89,2.17
Jerami Grant,2020,54,54,33.9,22.31,7.41,17.26,0.429,2.13,6.09,0.35,5.37,6.35,0.845,0.65,3.98,4.63,2.81,0.65,1.07,2.02,2.31
Jerami Grant,2021,47,47,31.9,19.23,6.34,14.87,0.426,1.94,5.4,0.358,4.62,5.51,0.838,0.6,3.47,4.06,2.36,0.94,1.04,1.81,2.28
Jerami Grant,2022,63,63,35.6,20.48,6.89,14.49,0.475,2.29,5.7,0.401,4.41,5.43,0.813,0.84,3.65,4.49,2.38,0.81,0.84,1.84,2.41
Kristaps Porzingis,2015,72,72,28.4,14.28,5.18,12.31,0.421,1.12,3.38,0.333,2.79,3.33,0.838,1.83,5.47,7.31,1.29,0.74,1.86,1.68,2.85
Kristaps Porzingis,2016,66,65,32.8,18.12,6.71,14.92,0.45,1.7,4.76,0.357,3,3.82,0.786,1.68,5.52,7.2,1.47,0.71,1.95,1.79,3.7
Kristaps Porzingis,2017,48,48,32.4,22.67,8.12,18.52,0.439,1.88,4.75,0.395,4.54,5.73,0.793,1.29,5.29,6.58,1.19,0.75,2.4,1.94,2.94
Kristaps Porzingis,2019,57,57,31.8,20.42,6.98,16.35,0.427,2.49,7.07,0.352,3.96,4.96,0.799,1.75,7.72,9.47,1.79,0.72,2.02,1.61,3.25
