Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Devin Booker,2018-19,81,81,28.7,12.46,4.38,9.7,0.452,2.31,6.32,0.365,1.38,1.64,0.842,0.41,4.48,4.89,1.21,0.63,2.21,1.01,2.33
Kyrie Irving,2019-20,68,67,26.7,11.96,4.29,9.87,0.435,1.5,4.78,0.314,1.87,2.24,0.836,0.85,3.74,4.59,1.46,0.68,2.4,1.03,2.4
Jaylen Brown,2020-21,70,70,27.2,12.27,4.6,9.14,0.503,1.36,4.01,0.338,1.71,2.03,0.845,1.49,3.47,4.96,0.71,0.57,1.47,0.91,2.13
Trae Young,2021-22,13,11,23,12.38,4.69,10.08,0.466,1.46,4.08,0.358,1.54,1.77,0.87,1.46,2.62,4.08,0.46,0.62,1.15,0.92,2.62
Ja Morant,2022-23,78,78,30.4,15.88,6.12,11.53,0.531,1.74,4.67,0.374,1.91,2.44,0.784,2.01,4.65,6.67,1.27,0.47,2.47,1.37,2.6
Joel Embiid,2008-09,82,65,32.5,15.32,5.32,13.35,0.398,0.43,1.57,0.271,4.26,5.22,0.815,2.17,2.7,4.87,5.3,1.34,0.2,3.34,2.33
Luka Doncic,2009-10,82,82,34.3,16.12,5.91,14.15,0.418,0.28,1.27,0.221,4.01,5.15,0.78,1.74,3.15,4.89,7.95,1.32,0.41,3.27,2.49
Damian Lillard,2010-11,82,82,34.7,21.87,7.49,16.95,0.442,0.41,1.26,0.33,6.48,7.7,0.842,1.48,3.15,4.62,8.17,1.89,0.37,3.85,2.52
Shai Gilgeous-Alexander,2011-12,66,66,35.3,23.61,8.76,19.18,0.457,0.94,2.97,0.316,5.15,6.26,0.823,1.45,3.11,4.56,5.48,1.7,0.32,3.62,2.23
Giannis Antetokounmpo,2012-13,82,82,34.9,23.21,8.21,18.72,0.438,1.18,3.66,0.323,5.61,7.01,0.8,1.35,3.87,5.22,7.4,1.77,0.29,3.33,2.3
Jayson Tatum,2013-14,46,46,30.7,21.78,7.52,17.2,0.437,1.48,4.65,0.318,5.26,6.37,0.826,1.2,4.52,5.72,6.93,1.91,0.15,3.85,2.26
Stephen Curry,2014-15,67,67,34.4,28.15,9.36,21.96,0.426,1.28,4.3,0.299,8.15,9.76,0.835,1.85,5.43,7.28,8.57,2.09,0.21,4.37,2.75
Kevin Durant,2015-16,80,80,34.4,23.48,8.2,18.05,0.454,1.26,4.26,0.296,5.81,7.16,0.812,1.81,6.01,7.83,10.43,2.04,0.25,4.28,2.5
LeBron James,2016-17,81,81,34.6,31.58,10.17,23.96,0.425,2.47,7.2,0.343,8.77,10.37,0.845,1.69,8.98,10.67,10.37,1.63,0.38,5.41,2.35
Donovan Mitchell,2017-18,80,80,36.4,25.35,9.46,21.09,0.449,1.21,4.08,0.298,5.21,7.08,0.737,1.9,8.15,10.05,10.25,1.84,0.25,4.76,2.5
Devin Booker,2018-19,73,73,36,22.95,8.63,20.18,0.428,1.63,5.63,0.29,4.05,6.18,0.656,1.49,9.56,11.05,10.74,1.95,0.45,4.45,3.36
Kyrie Irving,2019-20,57,57,36,27.25,10.6,22.47,0.472,0.96,3.74,0.258,5.09,6.67,0.763,1.75,6.16,7.91,7.04,1.63,0.35,4.47,3.51
Jaylen Brown,2020-21,65,65,36.4,22.23,8.37,19.05,0.439,1.32,4.2,0.315,4.17,6.35,0.656,1.68,9.86,11.54,11.74,1.37,0.35,4.8,2.92
Trae Young,2021-22,78,78,34.3,18.47,7.03,15.81,0.444,1.01,3.4,0.298,3.41,5.12,0.667,1.41,6.03,7.44,7.05,0.96,0.26,3.78,3.01
Ja Morant,2022-23,73,24,29.1,15.88,5.92,13.58,0.436,1.22,3.92,0.311,2.82,4.3,0.656,1.22,4.58,5.79,7.55,1.04,0.45,3.49,2.22
Joel Embiid,2019-20,58,57,30.3,12.24,4.62,10.16,0.455,1.48,3.97,0.374,1.52,2.34,0.647,1,4.45,5.45,2.12,0.88,0.76,1.6,2.72
Luka Doncic,2020-21,64,61,30.5,12.88,4.72,10.72,0.44,1.75,4.53,0.386,1.69,2.27,0.745,1.45,5.08,6.53,2.52,1.08,1.23,2,2.67
Damian Lillard,2021-22,65,28,27.2,10.28,3.85,8.18,0.47,1.69,4.63,0.365,0.89,1.25,0.716,1.26,3.92,5.18,2.26,0.88,0.94,1.26,2.34
Shai Gilgeous-Alexander,2022-23,73,73,32.6,15.67,5.95,13.4,0.444,2.04,5.86,0.348,1.74,2.38,0.73,1,3.9,4.9,2.4,0.9,1.08,1.51,2.64
Joel Embiid,2019-20,63,62,32,12.35,4.44,10.84,0.41,1.71,4.83,0.355,1.75,2.29,0.764,0.7,3.84,4.54,1.78,0.7,0.29,1.63,2.89
Luka Doncic,2020-21,23,19,29.5,14.96,5.22,10.78,0.484,1.35,4.13,0.326,3.17,3.7,0.859,0.74,4.04,4.78,1.91,0.83,0.52,1.26,2.57
Damian Lillard,2021-22,53,52,29.8,13.38,4.79,10.85,0.442,1.4,3.68,0.379,2.4,3.13,0.765,0.49,2.83,3.32,1.28,0.68,0.4,1.3,2.92
Shai Gilgeous-Alexander,2022-23,67,67,31.7,15.36,5.66,12.27,0.461,1.49,4.27,0.35,2.55,3.09,0.826,0.69,3.55,4.24,1.4,0.52,0.25,1.22,2.97
Joel Embiid,2021-22,74,74,35.4,15.32,6.2,12.59,0.492,0.78,2.61,0.301,2.14,2.91,0.735,2.64,4.89,7.53,3.46,1.08,0.74,1.84,2.59
Luka Doncic,2022-23,77,76,34.8,15.31,6.01,13.19,0.456,0.82,2.91,0.281,2.47,3.19,0.772,2.32,4.32,6.65,4.82,1.08,0.79,2,2.21
Joel Embiid,2018-19,75,59,27.3,9.69,3.67,8.76,0.419,1.81,4.71,0.385,0.55,0.75,0.732,0.8,2.47,3.27,2.85,0.87,0.33,1.45,2.07
Luka Doncic,2019-20,56,48,31.4,12.21,4.5,10.89,0.413,2.27,5.96,0.38,0.95,1.14,0.828,0.62,3.45,4.07,3.8,0.91,0.48,1.55,2.48
Damian Lillard,2020-21,69,49,30.8,11.91,4.58,10.59,0.432,2.03,5.59,0.363,0.72,0.93,0.781,0.55,2.8,3.35,3.49,1.19,0.26,1.14,2.39
